country,id,monetary,units,date,New_id,Last_Purchase_date
IN,1806648,355.26,2,1/7/2019,IN1806648,11/9/2020
IN,1806648,532.32,3,1/14/2019,IN1806648,11/9/2020
IN,1873176,286.98,1,1/14/2019,IN1873176,7/27/2020
IN,1883118,259.56,1,1/21/2019,IN1883118,11/30/2020
IN,2111100,174.78,1,1/7/2019,IN2111100,11/30/2020
IN,2111100,174.78,1,1/14/2019,IN2111100,11/30/2020
IN,4304160,358.74,1,1/28/2019,IN4304160,1/28/2019
IN,4447932,286.98,1,1/28/2019,IN4447932,1/28/2019
IN,4447932,358.74,1,1/21/2019,IN4447932,1/28/2019
IN,2412450,284.82,1,3/4/2019,IN2412450,10/19/2020
IN,2832846,358.74,1,2/25/2019,IN2832846,8/17/2020
IN,4128786,302.46,1,3/4/2019,IN4128786,11/30/2020
IN,1883028,375.06,1,3/18/2019,IN1883028,3/25/2019
IN,1883118,324.48,1,3/18/2019,IN1883118,11/30/2020
IN,4407984,765.12,3,3/25/2019,IN4407984,11/30/2020
IN,1802436,736.44,2,4/22/2019,IN1802436,11/23/2020
IN,1940772,1492.8,4,5/6/2019,IN1940772,11/30/2020
IN,2166048,378,1,4/15/2019,IN2166048,4/15/2019
IN,2111100,351.72,1,5/13/2019,IN2111100,11/30/2020
IN,4235394,378.06,1,5/20/2019,IN4235394,8/19/2019
IN,1873176,302.52,1,6/17/2019,IN1873176,7/27/2020
IN,2101596,302.52,1,6/17/2019,IN2101596,11/23/2020
IN,2101596,756.18,2,6/17/2019,IN2101596,11/23/2020
IN,1872678,308.22,1,7/29/2019,IN1872678,11/30/2020
IN,2045142,299.94,1,8/5/2019,IN2045142,8/31/2020
IN,2101596,361.14,1,7/22/2019,IN2101596,11/23/2020
IN,2841924,358.14,1,8/5/2019,IN2841924,8/24/2020
IN,3974274,378.06,1,7/15/2019,IN3974274,11/30/2020
IN,4128786,1083.54,2,7/15/2019,IN4128786,11/30/2020
IN,4128786,541.8,1,8/5/2019,IN4128786,11/30/2020
IN,4128786,541.8,1,8/12/2019,IN4128786,11/30/2020
IN,4128786,541.8,1,8/19/2019,IN4128786,11/30/2020
